"feature"	"method"	"group1"	"group2"	"group3"	"group4"	"group5"	"group6"	"p_values"	"adj_method"	"p_adjust"	"description"
"PWY-5898"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.20177395996868	"BH"	0.288749290730302	"superpathway of menaquinol-12 biosynthesis"
"PWY-5899"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.202560839025566	"BH"	0.289278060961347	"superpathway of menaquinol-13 biosynthesis"
"PWY-5910"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0428548687501833	"BH"	0.155888365171359	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)"
"PWY-5913"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.232051965647695	"BH"	0.303612901161805	"TCA cycle VI (obligate autotrophs)"
"PWY-5918"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0948537551400122	"BH"	0.190142619248557	"superpathay of heme biosynthesis from glutamate"
"PWY-5920"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.239452184871828	"BH"	0.31043420726391	"superpathway of heme biosynthesis from glycine"
"PWY-5941"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0255668374186119	"BH"	0.135426763053738	"glycogen degradation II (eukaryotic)"
"PWY-5971"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.137209058292517	"BH"	0.238410968086799	"palmitate biosynthesis II (bacteria and plants)"
"PWY-5973"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.102073877997183	"BH"	0.196157835449064	"cis-vaccenate biosynthesis"
"PWY-5989"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0801408862964511	"BH"	0.176431069579593	"stearate biosynthesis II (bacteria and plants)"
"PWY-6071"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0237628200238952	"BH"	0.135426763053738	"superpathway of phenylethylamine degradation"
"PWY-6107"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0581684028975036	"BH"	0.155888365171359	"chlorosalicylate degradation"
"PWY-6121"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.245849644665953	"BH"	0.31661525624484	"5-aminoimidazole ribonucleotide biosynthesis I"
"PWY-6122"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.239561942821403	"BH"	0.31043420726391	"5-aminoimidazole ribonucleotide biosynthesis II"
"PWY-6123"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.227541251481534	"BH"	0.299763544143123	"inosine-5'-phosphate biosynthesis I"
"PWY-6125"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.192805756482413	"BH"	0.286098864457773	"superpathway of guanosine nucleotides de novo biosynthesis II"
"PWY-6126"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.213068876052136	"BH"	0.293339713266568	"superpathway of adenosine nucleotides de novo biosynthesis II"
"PWY-6141"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.496158726039405	"BH"	0.526904892537595	"archaetidylserine and archaetidylethanolamine biosynthesis"
"PWY-6147"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.365840362441037	"BH"	0.416333954132117	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"
"PWY-6148"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.386055917539991	"BH"	0.434250800424649	"tetrahydromethanopterin biosynthesis"
"PWY-6151"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0995098495569608	"BH"	0.195129178205227	"S-adenosyl-L-methionine cycle I"
"PWY-6163"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.2038264663594	"BH"	0.289665579834334	"chorismate biosynthesis from 3-dehydroquinate"
"PWY-6165"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.364096189159883	"BH"	0.415430899903052	"chorismate biosynthesis II (archaea)"
"PWY-6167"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.501320454467133	"BH"	0.530452877971276	"flavin biosynthesis II (archaea)"
"PWY-6174"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.146418047508941	"BH"	0.24656912046785	"mevalonate pathway II (archaea)"
"PWY-6182"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0895766831195272	"BH"	0.184628602101528	"superpathway of salicylate degradation"
"PWY-6185"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.888398512914989	"BH"	0.892483103778966	"4-methylcatechol degradation (ortho cleavage)"
"PWY-621"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0173514949031241	"BH"	0.127137948356916	"sucrose degradation III (sucrose invertase)"
"PWY-6210"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0174560112160526	"BH"	0.127137948356916	"2-aminophenol degradation"
"PWY-622"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.846732166846667	"BH"	0.853568528055348	"starch biosynthesis"
"PWY-6263"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0386140209343013	"BH"	0.155888365171359	"superpathway of menaquinol-8 biosynthesis II"
"PWY-6269"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.514615292853772	"BH"	0.54124400235162	"adenosylcobalamin salvage from cobinamide II"
"PWY-6277"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.239751819111143	"BH"	0.31043420726391	"superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
"PWY-6282"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0809959073175746	"BH"	0.176855738493963	"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"
"PWY-6317"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.173564591423503	"BH"	0.274313658054505	"galactose degradation I (Leloir pathway)"
"PWY-6338"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.186904844734371	"BH"	0.285219438664083	"superpathway of vanillin and vanillate degradation"
"PWY-6339"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.303907236033347	"BH"	0.364598977544837	"syringate degradation"
"PWY-6349"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.410397083024211	"BH"	0.454034241219191	"CDP-archaeol biosynthesis"
"PWY-6350"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.574901834049242	"BH"	0.591830627749161	"archaetidylinositol biosynthesis"
"PWY-6353"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.221252336968486	"BH"	0.297499296169934	"purine nucleotides degradation II (aerobic)"
"PWY-6383"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0300405387089274	"BH"	0.142692558867405	"mono-trans, poly-cis decaprenyl phosphate biosynthesis"
"PWY-6385"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.219534561825558	"BH"	0.296222113506145	"peptidoglycan biosynthesis III (mycobacteria)"
"PWY-6386"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.215528608839348	"BH"	0.294791868741142	"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
"PWY-6387"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.213124391217701	"BH"	0.293339713266568	"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)"
"PWY-6396"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0406072923811314	"BH"	0.155888365171359	"superpathway of 2,3-butanediol biosynthesis"
"PWY-6397"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.546090907155308	"BH"	0.566844955883301	"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"
"PWY-6404"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.594030468148847	"BH"	0.610085345666383	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"
"PWY-6467"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0625151394757307	"BH"	0.158832069481944	"Kdo transfer to lipid IVA III (Chlamydia)"
"PWY-6470"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0214355761727992	"BH"	0.133123819915776	"peptidoglycan biosynthesis V (&beta;-lactam resistance)"
"PWY-6471"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0436835766791692	"BH"	0.155888365171359	"peptidoglycan biosynthesis IV (Enterococcus faecium)"
"PWY-6478"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0249693730676701	"BH"	0.135426763053738	"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis"
"PWY-6505"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0228372277009528	"BH"	0.135426763053738	"L-tryptophan degradation XII (Geobacillus)"
"PWY-6507"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0348597914967348	"BH"	0.151639768554002	"4-deoxy-L-threo-hex-4-enopyranuronate degradation"
"PWY-6519"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.560888138632895	"BH"	0.578767689687308	"8-amino-7-oxononanoate biosynthesis I"
"PWY-6545"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.296562131903893	"BH"	0.35949417931207	"pyrimidine deoxyribonucleotides de novo biosynthesis III"
"PWY-6562"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.328588282404876	"BH"	0.384452689185893	"norspermidine biosynthesis"
"PWY-6572"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.555571706967987	"BH"	0.574638664958604	"chondroitin sulfate degradation I (bacterial)"
"PWY-6581"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0381823767253109	"BH"	0.155888365171359	"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis"
"PWY-6588"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0318361047534996	"BH"	0.146969923501094	"pyruvate fermentation to acetone"
"PWY-6590"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.063932178994441	"BH"	0.159192947125759	"superpathway of Clostridium acetobutylicum acidogenic fermentation"
"PWY-6608"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.144169779704264	"BH"	0.245144722687795	"guanosine nucleotides degradation III"
"PWY-6609"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.176197393329824	"BH"	0.276474904434948	"adenine and adenosine salvage III"
"PWY-6612"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.297557876526553	"BH"	0.359703435801117	"superpathway of tetrahydrofolate biosynthesis"
"PWY-6628"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.369597384817096	"BH"	0.420062567399405	"superpathway of L-phenylalanine biosynthesis"
"PWY-6629"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.325309773614245	"BH"	0.382665870980956	"superpathway of L-tryptophan biosynthesis"
"PWY-6630"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.378325474530876	"BH"	0.428311482823815	"superpathway of L-tyrosine biosynthesis"
"PWY-6641"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0333914664501123	"BH"	0.151213169312944	"superpathway of sulfolactate degradation"
"PWY-6654"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.506427950589801	"BH"	0.534562836733678	"phosphopantothenate biosynthesis III"
"PWY-6690"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0787137909399349	"BH"	0.17437257801773	"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate"
"PWY-6700"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.119282090165695	"BH"	0.216291590881364	"queuosine biosynthesis"
"PWY-6703"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.13761828203677	"BH"	0.23864757638916	"preQ0 biosynthesis"
"PWY-6708"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.150662367971167	"BH"	0.249391874255303	"ubiquinol-8 biosynthesis (prokaryotic)"
"PWY-6713"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.362234824560243	"BH"	0.413847368190395	"L-rhamnose degradation II"
"PWY-6728"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00640972388181466	"BH"	0.080594182530024	"methylaspartate cycle"
"PWY-6731"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0181563380597847	"BH"	0.128310873105901	"starch degradation III"
"PWY-6737"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0635429758804808	"BH"	0.159192947125759	"starch degradation V"
"PWY-6749"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0536386718877466	"BH"	0.155888365171359	"CMP-legionaminate biosynthesis I"
"PWY-6830"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.440744534310176	"BH"	0.479117814660565	"superpathway of methanogenesis"
"PWY-6876"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0110011620361224	"BH"	0.100572400911693	"isopropanol biosynthesis"
"PWY-6891"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0182851888636882	"BH"	0.128310873105901	"thiazole biosynthesis II (Bacillus)"
"PWY-6892"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.00870267961407224	"BH"	0.0864334316215811	"thiazole biosynthesis I (E. coli)"
"PWY-6895"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0198217373523788	"BH"	0.133123819915776	"superpathway of thiamin diphosphate biosynthesis II"
"PWY-6897"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.121821450275722	"BH"	0.218478771802452	"thiamin salvage II"
"PWY-6901"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.151603664324759	"BH"	0.249646540645607	"superpathway of glucose and xylose degradation"
"PWY-6906"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.897142014670844	"BH"	0.900232056053178	"chitin derivatives degradation"
"PWY-6919"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.361809503741975	"BH"	0.413847368190395	"neopentalenoketolactone and pentalenate biosynthesis"
"PWY-6942"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.446471549898331	"BH"	0.483539200261637	"dTDP-D-desosamine biosynthesis"
"PWY-6944"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.497183895296423	"BH"	0.527352820981885	"androstenedione degradation"
"PWY-6948"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.449742974358725	"BH"	0.485878071186064	"sitosterol degradation to androstenedione"
"PWY-6957"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0972706151627547	"BH"	0.192776684018702	"mandelate degradation to acetyl-CoA"
"PWY-6969"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.223551603347698	"BH"	0.299590710289037	"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"
"PWY-6975"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.450572255974626	"BH"	0.486173026817066	"superpathway of erythromycin biosynthesis (without sugar biosynthesis)"
"PWY-6977"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.409689118761822	"BH"	0.453825462354667	"superpathway of erythromycin biosynthesis"
"PWY-6992"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.179079193043995	"BH"	0.278496823345999	"1,5-anhydrofructose degradation"
"PWY-6993"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.415178486086169	"BH"	0.456435216150077	"nicotine degradation II (pyrrolidine pathway)"
"PWY-7002"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.479758004415332	"BH"	0.512602073177262	"4-hydroxyacetophenone degradation"
"PWY-7003"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0350356776584886	"BH"	0.151639768554002	"glycerol degradation to butanol"
"PWY-7007"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0163743891527153	"BH"	0.123909800428075	"methyl ketone biosynthesis"
"PWY-7013"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.192264897288546	"BH"	0.286098864457773	"L-1,2-propanediol degradation"
"PWY-7024"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.345475746099524	"BH"	0.397820738697675	"superpathway of the 3-hydroxypropanoate cycle"
"PWY-7046"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.27676402006001	"BH"	0.342138265250988	"4-coumarate degradation (anaerobic)"
"PWY-7084"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.512446020839882	"BH"	0.540262752972324	"nitrifier denitrification"
"PWY-7090"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0274507816490179	"BH"	0.138712014887427	"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis"
"PWY-7094"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.116069403853204	"BH"	0.213119031444749	"fatty acid salvage"
"PWY-7097"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.182685267208666	"BH"	0.281599512416885	"vanillin and vanillate degradation I"
"PWY-7098"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.185826054721372	"BH"	0.284881238052563	"vanillin and vanillate degradation II"
"PWY-7106"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.418830816043035	"BH"	0.459295022862751	"erythromycin D biosynthesis"
"PWY-7110"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.445382925025611	"BH"	0.482958655672933	"superpathway of megalomicin A biosynthesis"
"PWY-7111"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.178149908783698	"BH"	0.278310391197985	"pyruvate fermentation to isobutanol (engineered)"
"PWY-7159"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0585389620302749	"BH"	0.155888365171359	"chlorophyllide a biosynthesis III (aerobic, light independent)"
"PWY-7184"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.31356220600322	"BH"	0.372493992056918	"pyrimidine deoxyribonucleotides de novo biosynthesis I"
